"AcceptingNewPatients","Accessibility","AccountID","AccountName","ActiveMHDesignation","ActiveRSSOLicense","ActiveSUDLicense","AddressOneLine","CommunityMentalHealthCenter","CommunityMentalHealthClinic","DUIDWI","DisplayName","Fees","HideAddress","HoursofOperationFriday","HoursofOperationMonday","HoursofOperationSaturday","HoursofOperationSunday","HoursofOperationThursday","HoursofOperationTuesday","HoursofOperationWednesday","LanguagesSpoken","MentalHealthSettings","OffersTelehealth","OpioidTreatmentPrograms","Phone","PopulationServed","ProviderDirectoryFormModifiedDate","ProviderLocationDisplayLabel","RSSOServicesProvided","SubstanceUseServices","TelehealthRestrictions","Website","lat","lon"
"yes","","0014M00002IZwvtQAD","Sunrise Counseling and Wellness - Tejon St","0","1","1","1530 S Tejon St, Colorado Springs, CO 80905","0","0","1","Sunrise Counseling and Wellness","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 4:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English","","Telehealth Available - With Restrictions","0","719-424-5330","Homeless; Men; Military; Pregnant Person; Women; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","11/17/2022 10:34 AM","1530 S Tejon St_BR_ENCODED_Colorado Springs, CO 80905","","Outpatient; DUI/DWI","Case by case basis","http://www.sunrisecounselingcs.com","38.8115712","-104.8256094"
"","","0014M00001zC7csQAC","Life's Hope Therapeutic Services PLLC - Bannock","1","0","0","10190 Bannock St Ste. 109, Northglenn, Colorado 80260","0","1","0","Life's Hope Therapeutic Services PLLC - Northglenn","","0","9:00AM - 5:00PM","9:00AM - 5:00PM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(720) 425-5510","","11/29/2022 2:14 PM","10190 Bannock St Ste. 109_BR_ENCODED_Northglenn, Colorado 80260","","","","https://www.lifeshopetherapeutic.org/","39.8809285","-104.9889496"
"","","0014M00001zEZBmQAO","Life's Hope Therapeutic Services PLLC - Sheridan","1","0","0","8120 Sheridan Blvd Ste. A109, Arvada, Colorado 80003","0","1","0","Life's Hope Therapeutic Services PLLC - Arvada","","0","9:00AM - 5:00PM","9:00AM - 5:00PM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(720) 425-5510","","11/29/2022 2:16 PM","8120 Sheridan Blvd Ste. A109_BR_ENCODED_Arvada, Colorado 80003","","","","https://www.lifeshopetherapeutic.org/","39.8438824","-105.0516775"
"","","0014M0000226Ve5QAE","MIKID - Riverwalk","1","0","0","115 Riverwalk, Pueblo, Colorado 81003","0","1","0","MiKID-Mentally Ill Kids in Distress","","0","9:00AM - 4:00PM","9:00AM - 4:00PM","","","9:00AM - 4:00PM","9:00AM - 4:00PM","9:00AM - 4:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(602) 253-1240","","11/29/2022 2:17 PM","115 Riverwalk_BR_ENCODED_Pueblo, Colorado 81003","","","","https://www.mikid.org/","38.2650407","-104.6114645"
"","Wheelchair","0014M00001gOmC2QAK","SKS Therapy PC - Jackson","0","0","1","1776 South Jackson St suite 700, Denver, Colorado 80210","0","0","1","SKS Therapy PC","Medicaid; Self Pay; Sliding Fee Scale","0","8:00AM - 3:00PM","8:00AM - 7:00PM","11:00AM - 2:00PM","","8:00AM - 7:00PM","8:00AM - 7:00PM","8:00AM - 7:00PM","English","","","0","(970) 222-7478","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/29/2022 12:00 PM","1776 South Jackson St suite 700_BR_ENCODED_Denver, Colorado 80210","","Outpatient; General Treatment; Youth Treatment","","www.skstherapy.com","39.6847933","-104.9427633"
"yes","Wheelchair","0014M00001wJHquQAG","Michelle Simmons Counseling, PLLC - Bethany","1","0","0","11059 E Bethany Drive Ste 210, Aurora, CO 80014","0","1","0","Michelle Simmons Counseling, PLLC","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 12:00PM","8:00AM - 6:00PM","","","8:00AM - 6:00PM","8:00AM - 6:00PM","8:00AM - 6:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","Telehealth Available - No Restrictions","0","(303) 732-6881","LGBTQIA+; Men; Women; Youth; Minors/Adolescents; Clients referred from Court/Judicial System; Latinx","11/14/2022 5:47 PM","11059 E Bethany Drive Ste 210_BR_ENCODED_Aurora, CO 80014","","","","www.mrscounseling.com","39.6637178","-104.8594172"
"yes","Visually Impaired; Wheelchair","0014M00002KixA4QAJ","Slopeside Counseling LLC - Village Pl","0","0","1","114 Village Place -Ste 203, Dillon, Colorado 80435","0","0","1","Slopeside Counseling, LLC","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:00AM - 9:00PM","8:00AM - 9:00PM","8:00AM - 9:00PM","","8:00AM - 9:00PM","8:00AM - 9:00PM","8:00AM - 9:00PM","English; Spanish","","Telehealth Available - With Restrictions","0","970-406-2620","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","9/26/2022 8:21 PM","114 Village Place -Ste 203_BR_ENCODED_Dillon, Colorado 80435","","Level II Four Plus","Must be in compliance with conditions of release","www.slopesidecounseling.org","39.62797","-106.046154"
"","Wheelchair","0014M00001q08rNQAQ","Field of Vision Counseling - Oneida","0","0","1","2121 S Oneida St, Suite 175, Denver, CO 80224","0","0","1","Field of Vision Counseling","Self Pay; Sliding Fee Scale","0","10:00AM - 6:00PM","10:00AM - 6:00PM","","","10:00AM - 6:00PM","10:00AM - 6:00PM","10:00AM - 6:00PM","English","","","0","(720) 668-6482","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","7/15/2022 1:31 PM","2121 S Oneida St, Suite 175_BR_ENCODED_Denver, CO 80224","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI","","https://fieldofvisioncounseling.com/","39.6773202","-104.9087883"
"","","0016100001HA3iZAAT","Shiloh House - Longmont Campus","1","0","0","2700 East Ken Pratt Blvd., Longmont, CO 80504","0","0","0","Shiloh House - Longmont","","0","12:00AM - 12:00PM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 932-9599","Youth","6/28/2022 8:43 AM","2700 East Ken Pratt Blvd._BR_ENCODED_Longmont, CO 80504","","","","www.shilohhouse.org","40.1611476","-105.0413581"
"","","0016100001HA3iaAAD","Shiloh House - Estes","1","0","0","7623 South Estes Court, Littleton, CO 80128","0","0","0","Shiloh House - Littleton (Estes Court)","Medicaid","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 932-9599","Youth","6/28/2022 8:43 AM","7623 South Estes Court_BR_ENCODED_Littleton, CO 80128","","","","shilohhouse.org","39.5785917","-105.0973461"
